City,Median_Age,Median_Income,Normalized_Income,Male_Percent,Hispanic_Percent,Avg Rent - Office,Avg Rent - Industrial,Avg Rent - Retail,Soccer_Activity
La Habra Heights,40.0,22700.0,0.29,0.49,0.2,0.0,0.0,16.62,2.0
Lakewood,39.0,24000.0,0.33,0.48,0.32,20.74,0.0,0.0,0.0
Lancaster,35.0,15000.0,0.09,0.52,0.41,0.0,8.7,17.65,0.0
Lawndale,37.0,18000.0,0.17,0.49,0.5,0.0,0.0,0.0,0.0
Lomita,42.0,30000.0,0.49,0.48,0.2,0.0,0.0,24.31,2.0
Long Beach,35.0,22000.0,0.27,0.48,0.43,22.62,8.61,21.48,3.0
Los Angeles,35.0,20000.0,0.22,0.49,0.49,27.38,14.02,32.01,3.0
Lynwood,30.0,13400.0,0.04,0.48,0.93,23.79,0.0,0.0,0.0
Malibu,46.0,36000.0,0.65,0.47,0.09,46.36,0.0,0.0,0.0
Manhattan Beach,41.0,49000.0,1.0,0.51,0.13,0.0,0.0,0.0,2.0
Monrovia,40.0,23900.0,0.33,0.49,0.23,0.0,0.0,25.68,0.0
Montebello,37.0,19500.0,0.21,0.48,0.82,0.0,0.0,0.0,0.0
Monterey Park,43.0,16000.0,0.11,0.5,0.29,0.0,0.0,0.0,0.0
Norwalk,36.0,21000.0,0.25,0.5,0.69,0.0,0.0,0.0,1.0
Palmdale,32.0,15000.0,0.09,0.5,0.57,14.72,0.0,0.0,0.0
Paramount,32.0,17000.0,0.14,0.5,0.66,0.0,0.0,0.0,0.0
Pasadena,38.0,26000.0,0.38,0.49,0.34,16.38,0.0,0.0,2.0
Pico Rivera,37.0,19500.0,0.21,0.48,0.82,30.36,0.0,33.44,3.0
Pomona,33.0,15600.0,0.1,0.5,0.72,0.0,0.0,0.0,0.0
Redondo Beach,41.0,49000.0,1.0,0.51,0.13,21.15,8.04,16.9,0.0
Rosemead,43.0,16000.0,0.11,0.5,0.29,0.0,0.0,0.0,0.0
San Dimas,41.0,29200.0,0.47,0.47,0.34,23.67,0.0,0.0,0.0
San Fernando,35.0,17000.0,0.14,0.49,0.86,0.0,0.0,0.0,0.0
San Gabriel,42.0,26500.0,0.4,0.49,0.22,0.0,0.0,0.0,1.0
San Marino,42.0,26500.0,0.4,0.49,0.22,0.0,0.0,0.0,0.0
Santa Clarita,37.0,27000.0,0.41,0.49,0.32,24.84,0.0,0.0,0.0
Santa Fe Springs,36.0,20000.0,0.22,0.49,0.61,0.0,0.0,21.97,0.0
Santa Monica,40.0,38400.0,0.72,0.48,0.16,0.0,9.26,0.0,0.0
Signal Hill,32.0,21800.0,0.27,0.5,0.42,48.74,0.0,0.0,3.0
South El Monte,33.0,14000.0,0.06,0.51,0.69,0.0,0.0,0.0,1.0
South Gate,30.0,13400.0,0.04,0.48,0.93,15.72,0.0,22.16,0.0
South Pasadena,40.0,23700.0,0.32,0.49,0.32,0.0,0.0,0.0,0.0
Temple City,40.0,23900.0,0.33,0.49,0.23,0.0,0.0,0.0,1.0
Torrance,42.0,30000.0,0.49,0.48,0.2,0.0,0.0,0.0,0.0
Vernon,28.0,11800.0,0.0,0.5,0.9,25.58,12.57,0.0,0.0
Walnut,33.0,16800.0,0.13,0.5,0.72,0.0,0.0,0.0,0.0
West Covina,36.0,20000.0,0.22,0.5,0.62,17.36,0.0,0.0,1.0
West Hollywood,42.0,41100.0,0.79,0.53,0.1,20.72,0.0,0.0,0.0
Westlake Village,46.0,36000.0,0.65,0.47,0.09,45.62,0.0,0.0,0.0
Whittier,38.0,25000.0,0.35,0.5,0.63,0.0,0.0,0.0,2.0
Palos Verdes Estates,39.0,23900.0,0.33,0.49,0.32,19.97,0.0,0.0,0.0
Big Bear Lake,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Rialto,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Maywood,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
La Quinta,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Palm Desert,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Needles,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
San Buenaventura,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Corona,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Port Hueneme,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Chino Hills,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Murrieta,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Desert Hot Springs,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Temecula,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Oxnard,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Hesperia,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Grand Terrace,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Calexico,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Imperial,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Camarillo,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Ojai,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Simi Valley,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Highland,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Eastvale,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Wildomar,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Santa Paula,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Unincorporated,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Rancho Palos Verdes,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Unincorporated,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Blythe,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
San Bernardino,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Victorville,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Canyon Lake,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
El Centro,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Menifee,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Unincorporated,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Ontario,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Villa Park,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Fontana,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Twentynine Palms,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Upland,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Indian Wells,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Bell,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
San Jacinto,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Rancho Mirage,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Cudahy,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Thousand Oaks,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Montclair,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Moreno Valley,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Holtville,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Hemet,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Sierra Madre,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Yucca Valley,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Westmorland,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Apple Valley,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Rolling Hills,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Perris,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Moorpark,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Bradbury,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Fillmore,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Loma Linda,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Hidden Hills,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Yucaipa,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Chino,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Adelanto,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Colton,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Beaumont,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Norco,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Redlands,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Riverside,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Rancho Cucamonga,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Calimesa,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Cathedral City,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Brawley,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Barstow,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Indio,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Lake Elsinore,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Rolling Hills Estates,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Calipatria,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Coachella,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Unincorporated,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Unincorporated,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Palm Springs,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Unincorporated,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Banning,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
Jurupa Valley,39.0,23900.0,0.33,0.49,0.32,0.0,0.0,0.0,0.0
